,year,month,day,tp,ssr,temp,wind_speed,wind_direct,dvs,wlv,wst,wso,tagp,lai
0,2019,6,14,0.0004046903804487,25318330.73825878,302.9433632954267,20.58371164710203,180.37894924223693,0.0,8,3,0,10,0.01
1,2019,6,15,0.0,22473854.325964592,303.7189343364232,56.98921367743152,178.81270623759622,0.02,9,3,0,12,0.01
2,2019,6,16,2.039137575901573e-05,23113384.257587783,300.3102637828193,44.14401083842656,177.64793128097452,0.04,10,3,0,13,0.02
3,2019,6,17,2.666564522332826e-05,24944331.55165146,302.7827604775408,46.24729794424624,180.3237857904153,0.07,11,4,0,15,0.02
4,2019,6,18,2.039137575901573e-05,26367003.63156492,304.54811079869245,72.42662654360599,180.4939128415904,0.09,13,5,0,17,0.02
5,2019,6,19,0.0165923055983999,23848800.29157781,304.6859968709308,62.35345351210104,180.2251168118141,0.11,15,5,0,20,0.02
6,2019,6,20,0.0328583491846552,15509746.502027128,301.831431957468,53.91113633074657,180.70763857718404,0.13,17,6,0,23,0.03
7,2019,6,21,0.0093612100407686,23686965.37672337,301.6034107172647,90.43539796174332,178.1654210082495,0.15,18,7,0,25,0.03
8,2019,6,22,0.0,25995173.813789427,302.0944583305617,60.59326559141624,178.33396068250423,0.17,20,8,0,29,0.03
9,2019,6,23,2.3528510491171994e-05,27358839.06147714,303.47722206427926,47.8372147601519,179.44678915509243,0.2,23,10,0,33,0.04
10,2019,6,24,2.666564522332826e-05,26316674.274666484,303.5761085154666,104.90764510257392,180.13782831119062,0.22,27,12,0,39,0.05
11,2019,6,25,1.568567366078133e-05,24580745.33543692,301.1907892379345,97.44045147987372,179.76195963240346,0.24,31,14,0,46,0.05
12,2019,6,26,4.705702098234399e-06,25194676.714844525,301.9707206744042,36.14125644933556,179.9809324933818,0.26,35,17,0,53,0.06
13,2019,6,27,0.0094521869480013,20894553.81639308,303.1975774007456,61.92076206461039,180.4777518935314,0.28,41,21,0,62,0.07
14,2019,6,28,0.2438667369719085,4154836.162467763,296.4777505923036,46.63087769600767,180.5903116461846,0.3,47,25,0,71,0.09
15,2019,6,29,2.3528510491171994e-05,25634190.84017308,303.5583010262612,18.39210359255529,181.4726312829137,0.32,50,27,0,78,0.09
16,2019,6,30,0.0,27571437.20699638,301.42402465734006,32.22056489659153,177.31288264145604,0.34,58,33,0,91,0.11
17,2019,7,1,2.195994312509386e-05,26836888.92053908,302.8195646547172,33.52005419820911,178.82866655764263,0.36,66,39,0,106,0.13
18,2019,7,2,0.0008705548881746,26526235.30382117,303.6348671313896,45.92767267407867,180.3272772693064,0.38,77,47,0,125,0.15
19,2019,7,3,0.0,25497954.47753422,303.5825118934343,21.486090195245527,179.07650718169506,0.4,85,55,0,141,0.18
20,2019,7,4,0.0,21193926.71518548,304.4795336698855,106.9858416084298,180.30354215100385,0.42,97,64,0,164,0.21
21,2019,7,5,0.0583036489972138,25628550.481210325,304.5368286565587,67.86875307558034,180.2080077153554,0.45,109,74,0,185,0.24
22,2019,7,6,0.1530639407168717,10817835.59254736,295.032935076851,32.734034221744395,176.97023800115358,0.47,125,87,0,214,0.28
23,2019,7,7,0.0098380545200571,15752281.93742561,295.9669744764108,82.65405011439215,177.70834715106068,0.48,144,103,0,249,0.33
