,year,month,day,tp,ssr,temp,wind_speed,wind_direct,dvs,wlv,wst,wso,tagp,lai
0,2019,10,26,0.0,14203786.465266068,284.48434562784587,162.04086903858814,180.316254839434,0.0,94,10,0,105,0.19
1,2019,10,27,0.0,14671936.259174766,288.0983206760057,171.39428544924064,180.3120540331169,0.01,94,10,0,105,0.19
2,2019,10,28,4.705702098234399e-06,14923583.04366693,288.2527945464082,35.5210596175104,183.1214149024321,0.02,104,12,0,115,0.21
3,2019,10,29,2.5097077857250127e-05,14624644.018640894,288.7490563389074,157.33079816815905,180.2300762523101,0.03,112,13,0,124,0.23
4,2019,10,30,9.411404196468798e-06,14069719.471459037,291.6634470979544,156.08572306884744,180.3844269053918,0.04,122,14,0,136,0.25
5,2019,10,31,0.0,13853216.4620425,293.38376032739967,16.918840162997764,178.27844092694392,0.05,133,15,0,148,0.27
6,2019,11,1,2.8234212589406397e-05,10966220.420644466,292.2015138009003,69.21918724646889,179.2559192800501,0.06,144,17,0,161,0.29
7,2019,11,2,0.0684130656716029,12415358.800306238,289.57936101539,42.2862886051488,178.6660245516666,0.07,153,18,0,171,0.31
8,2019,11,3,0.0033441856244836,7194121.895860196,283.303410269216,164.8675873100279,177.81912713958985,0.08,160,19,0,180,0.32
9,2019,11,4,0.0,13033195.04361114,285.97300903623943,11.265620549233937,179.7894446157399,0.09,166,20,0,187,0.33
10,2019,11,5,2.3528510491171994e-05,12887413.458112229,287.5879104674253,51.61238991001101,178.67870837924244,0.1,180,23,0,202,0.36
11,2019,11,6,0.0,9446794.490831433,287.83053750785035,26.68697186774653,179.93352583657196,0.11,194,25,0,219,0.39
12,2019,11,7,0.0,7696547.717311793,283.3626262692794,100.2127246546552,178.29923320496565,0.12,202,27,0,229,0.4
13,2019,11,8,1.097997156254693e-05,12052206.457858063,286.4032245588429,125.4473732457298,180.3929863314196,0.13,213,29,0,241,0.42
14,2019,11,9,0.0255896080102379,10623894.018981848,287.6571279340289,161.501539208069,180.5393898006413,0.13,223,31,0,254,0.44
15,2019,11,10,3.137134732156266e-06,12613205.237769043,287.3916011943003,97.23309990790092,181.62871832999588,0.14,234,33,0,267,0.46
16,2019,11,11,1.097997156254693e-05,12336827.64859403,288.24041468233725,80.34314979313382,179.23299370503344,0.15,252,36,0,289,0.5
17,2019,11,12,0.0129249950965036,11282948.2700915,290.26946220665525,101.2287985684217,180.94116676945077,0.16,273,40,0,313,0.53
18,2019,11,13,0.0,12651820.0029756,281.6869537319521,24.662120889381217,181.70646440179823,0.17,291,44,0,335,0.57
19,2019,11,14,2.039137575901573e-05,12098197.077092838,285.4412542344333,161.42954253263997,180.30780973988317,0.18,312,48,0,360,0.61
20,2019,11,15,0.0,11641328.00110965,284.2615385668447,62.28457899538669,177.98179409735948,0.19,333,53,0,386,0.64
21,2019,11,16,0.0562582371518448,10902007.103222324,282.86755367554565,74.677045251789,177.3068335089298,0.19,356,58,0,414,0.69
22,2019,11,17,0.0016705242448757,5962354.273147688,280.34117712906703,180.16063344409923,182.64169208747128,0.2,367,60,0,427,0.71
23,2019,11,18,0.0,12161108.77321588,275.56675753177416,82.22426348606947,180.74556088042024,0.21,378,63,0,441,0.73
24,2019,11,19,0.0,11747627.073869271,279.2930661248535,116.3031492125456,179.91983793014248,0.21,394,66,0,460,0.75
25,2019,11,20,0.0001364653608489,8667123.33267209,282.62215183800134,202.68875968138008,180.0973730687137,0.21,403,69,0,472,0.77
26,2019,11,21,1.88228083929376e-05,7923897.570887472,283.85754640163304,142.9754842117255,180.00592206815384,0.22,405,69,0,474,0.78
27,2019,11,22,3.607704941983869e-05,10583109.884943465,287.1428147141159,112.9513878320403,180.00224859098375,0.23,412,71,0,482,0.79
28,2019,11,23,0.0091008278579992,2996393.2062710766,285.8284146632728,79.45861015176263,176.9187647263009,0.23,427,74,0,501,0.81
29,2019,11,24,0.0067495453762445,6427900.824458192,275.0538164642828,264.69765194440174,177.18235969141537,0.24,440,77,0,517,0.84
30,2019,11,25,2.666564522332826e-05,11301170.968278864,273.9114233425633,39.111137513311455,179.96354695266697,0.25,450,80,0,530,0.86
31,2019,11,26,1.568567366078133e-06,10589617.99143895,276.6079467893274,27.695351997443368,178.2271357880552,0.25,457,82,0,538,0.87
32,2019,11,27,3.6077049419810936e-05,9680218.577136232,273.1940315642452,202.86921830746124,178.0270201555719,0.25,465,84,0,548,0.88
33,2019,11,28,0.0,10705462.287058618,274.3341987498139,77.70272383392363,178.6297100806934,0.25,472,85,0,558,0.89
34,2019,11,29,0.0001082311482595,7231001.166001289,276.65508784808026,43.32359440095797,179.958483009331,0.25,472,85,0,558,0.89
35,2019,11,30,0.0064405376051266,6484304.414085746,276.0243246259826,60.98796206410495,177.34472215755812,0.25,472,85,0,558,0.89
36,2019,12,1,2.195994312509386e-05,10316277.518628497,274.9547165671631,77.03193841867275,182.96709613550283,0.26,472,85,0,558,0.89
37,2019,12,2,2.195994312509386e-05,10817835.59254736,274.8497621530443,125.24697478574863,180.7859403135705,0.26,472,85,0,558,0.89
38,2019,12,3,2.039137575901573e-05,10573998.535849782,279.5674966091849,120.2198150884527,180.8471648149732,0.26,472,85,0,558,0.89
39,2019,12,4,0.0,10410428.125929872,279.6195164321037,6.750211613414452,177.37874127124277,0.26,472,85,0,558,0.89
40,2019,12,5,0.0,7968152.695056784,272.409648255474,153.1709939486128,178.25062902112984,0.26,472,85,0,558,0.89
41,2019,12,6,0.0,10090663.16011828,274.2559860617795,174.99942105793042,180.51943185890107,0.26,472,85,0,558,0.89
42,2019,12,7,0.0,10071138.840631818,276.59968338252133,127.42534185731846,180.31989797702943,0.26,472,85,0,558,0.89
43,2019,12,8,0.0,9699309.022856329,279.19945483742055,137.33916127665998,180.45226131879463,0.27,472,85,0,558,0.89
44,2019,12,9,1.7254241026859463e-05,9931865.361628396,280.4300011291624,71.6363085197151,180.06884938937333,0.27,472,85,0,558,0.89
45,2019,12,10,0.0,9657657.14128521,279.6801045845889,32.938757478851066,177.48509627808517,0.27,472,85,0,558,0.89
46,2019,12,11,2.8234212589406397e-05,10003454.533078752,276.0780215240836,101.36910377785526,178.02719117402262,0.27,472,85,0,558,0.89
47,2019,12,12,0.0068091509361556,9992173.815153245,278.2452905356764,191.1382151337153,180.17966496876295,0.27,472,85,0,558,0.89
48,2019,12,13,2.039137575901573e-05,9625984.356340509,278.5503047728727,107.8806870539348,177.51926685443289,0.27,472,85,0,558,0.89
49,2019,12,14,4.705702098234399e-06,7798508.0524077555,277.2432838528305,71.07623837842428,179.08619385363923,0.28,472,85,0,558,0.89
50,2019,12,15,0.0820611703238698,2443638.027921047,277.23306894035824,87.48306776599063,178.13838781449556,0.28,472,85,0,558,0.89
51,2019,12,16,0.0163570204934878,997102.8908574674,275.8779312087299,73.53588679965502,182.7329667010156,0.28,472,85,0,558,0.89
52,2019,12,17,2.3528510491171994e-05,6779772.448980856,274.0250070708005,192.22259154812,177.45801177529958,0.28,472,85,0,558,0.89
53,2019,12,18,2.3528510491171994e-05,8781666.00699266,273.92950526225326,50.75482969126597,180.3928970361968,0.28,472,85,0,558,0.89
54,2019,12,19,0.0,9733151.17663286,272.5632073575955,89.14807697877708,177.97018015707602,0.28,472,85,0,558,0.89
55,2019,12,20,0.0,8552146.784585152,275.0837598793509,172.56999978949213,180.3445971700502,0.28,472,85,0,558,0.89
56,2019,12,21,0.0,9652016.782322455,277.17574346140896,98.62439749655448,180.2835596099584,0.29,472,85,0,558,0.89
57,2019,12,22,2.8234212589406397e-05,8719622.05840235,275.0967190966666,57.50564374228296,177.97498937105573,0.29,472,85,0,558,0.89
58,2019,12,23,0.0,9443757.37446687,273.7957356472796,144.88526901719544,178.41803975062615,0.29,472,85,0,558,0.89
59,2019,12,24,0.0005740956559854,8461033.293648332,276.1742246549796,107.37518001874172,180.21052006152053,0.29,472,85,0,558,0.89
60,2019,12,25,0.0680585694468687,1853569.705663558,274.2728177981518,127.96796864560478,177.4031594812247,0.29,472,85,0,558,0.89
61,2019,12,26,3.764561678587519e-05,8605079.384081779,274.3238618682373,95.71096643173,180.9105103498133,0.29,472,85,0,558,0.89
62,2019,12,27,0.0,10146632.875979468,277.1903492616306,204.02897293971728,180.19321459272655,0.29,472,85,0,558,0.89
63,2019,12,28,2.195994312509386e-05,10023412.72633158,279.4050642547368,207.65062308127045,180.1450114690782,0.29,472,85,0,558,0.89
64,2019,12,29,7.37226662057347e-05,9401671.61912939,278.67983596147707,60.12347448681144,177.39404060412636,0.3,472,85,0,558,0.89
65,2019,12,30,2.666564522332826e-05,10350553.546171391,265.6835095458924,194.77060839298133,177.3119988854067,0.3,472,85,0,558,0.89
66,2019,12,31,1.5378141644865895e-05,10824382.100995991,268.3544194807855,184.0637325162072,180.35579986400964,0.3,472,85,0,558,0.89
67,2020,1,1,8.827247451125009e-06,9904856.774763882,273.47644260225206,62.70093213637652,180.35390706896143,0.3,472,85,0,558,0.89
68,2020,1,2,2.2698636302928565e-05,10182952.917435205,275.4563670872602,12.15683027943016,177.3783094217409,0.3,472,85,0,558,0.89
69,2020,1,3,2.2698636302928565e-05,9897107.96583496,277.34460843403554,48.40193875421251,180.6760961862973,0.3,472,85,0,558,0.89
70,2020,1,4,5.044141400633445e-05,9188952.927608453,278.6690825209121,71.58144143175642,178.55356483971107,0.3,472,85,0,558,0.89
71,2020,1,5,0.1221274905566579,2403148.7527972534,274.729054360787,93.74010768309088,177.77368199697665,0.3,472,85,0,558,0.89
72,2020,1,6,0.0266255003832156,2097501.2894897647,274.08473532949046,153.52785410170955,177.23362455292892,0.31,472,85,0,558,0.89
73,2020,1,7,0.1210644377564756,2023026.625895122,271.9633061185066,167.73529148949711,176.86301399900347,0.31,472,85,0,558,0.89
74,2020,1,8,0.0,11307391.190898811,272.46491531858635,39.64491347074717,177.3809230754012,0.31,472,85,0,558,0.89
75,2020,1,9,0.0,10813189.376987549,275.2911408160068,38.11757510480816,179.89680938741424,0.31,472,85,0,558,0.89
76,2020,1,10,0.0,8682697.410918865,274.66448609048524,56.394204969263406,177.02109021054213,0.31,472,85,0,558,0.89
77,2020,1,11,6.683487355838014e-05,6591810.468264676,271.5294048050154,55.16446678444761,177.5024346853104,0.31,472,85,0,558,0.89
78,2020,1,12,0.0001059269694132,9480824.730597856,272.40389893741707,17.42492650850178,177.5780267120054,0.31,472,85,0,558,0.89
79,2020,1,13,0.0026380859525285,7640482.609978822,270.59110352141187,76.42047323962299,177.10211698884524,0.31,472,85,0,558,0.89
80,2020,1,14,0.0,11749073.29984738,270.94483362305493,22.874057828369843,177.70286188329698,0.31,472,85,0,558,0.89
81,2020,1,15,2.9003813053700422e-05,10535523.723701166,272.1252342069941,41.42660371437849,177.69069620435533,0.31,472,85,0,558,0.89
82,2020,1,16,0.0013266091883652,5927134.857917122,271.59219713075095,26.270865459959182,182.20688033233492,0.31,472,85,0,558,0.89
83,2020,1,17,0.0001349307824668,10094702.593522478,272.443825976862,79.27105907722088,180.95610687927416,0.31,472,85,0,558,0.89
84,2020,1,18,1.5132424201952375e-05,10749476.948016409,274.9277698724327,107.9191243680159,180.7354136906868,0.31,472,85,0,558,0.89
85,2020,1,19,1.7654494902277773e-05,12074092.785477174,276.1950966002309,66.98862782288701,180.7791433805323,0.31,472,85,0,558,0.89
86,2020,1,20,0.0,12145554.023377236,275.66459658765376,90.4584355537915,178.84229469279225,0.31,472,85,0,558,0.89
87,2020,1,21,7.5662121009761885e-06,9002551.02392938,277.6770906274752,156.22482197908593,180.07297308382772,0.31,472,85,0,558,0.89
88,2020,1,22,1.0088282801287709e-05,10015492.546693496,278.1863744451448,55.47966583209394,180.59853187412924,0.31,472,85,0,558,0.89
89,2020,1,23,6.30517675081349e-06,10397767.120520327,276.3890551175026,107.43731647429011,177.97139749270093,0.31,472,85,0,558,0.89
90,2020,1,24,0.0,11382296.343878394,275.4297279187665,123.90696045983024,178.2964188112498,0.31,472,85,0,558,0.89
91,2020,1,25,0.0,10405946.418834187,276.478645178211,92.97844284351775,178.1110621655369,0.32,472,85,0,558,0.89
92,2020,1,26,0.0014640620415323,5849646.768627899,273.30801328812026,142.4971330887533,177.69887330272232,0.32,472,85,0,558,0.89
93,2020,1,27,6.305176750806552e-06,9960820.394806098,275.29916427985086,57.59046844507206,177.6271239839748,0.32,472,85,0,558,0.89
94,2020,1,28,0.0010390931285294,11045653.644855216,275.40508668790966,63.37699742744859,177.55443773777475,0.32,472,85,0,558,0.89
95,2020,1,29,0.0003240860849904,9969430.182504902,274.6747611983329,74.31482208526627,177.14535187888157,0.32,472,85,0,558,0.89
96,2020,1,30,8.827247451138887e-06,13168827.291379914,275.90577620241044,46.45043454989929,180.03105124701017,0.32,472,85,0,558,0.89
97,2020,1,31,0.0,13164952.886915453,279.62435041778264,78.9448592264922,180.26169482650403,0.32,472,85,0,558,0.89
98,2020,2,1,0.0002585122467822,11491210.158268243,276.96309748524885,110.89998256912703,178.52731408702255,0.33,472,85,0,558,0.89
99,2020,2,2,0.0026153873162257,10179078.512970742,274.4671976771519,85.43407919710033,177.64100589239587,0.33,472,85,0,558,0.89
100,2020,2,3,3.026484840385618e-05,13594581.293085698,275.590736321675,180.4413483465572,180.1454243807098,0.33,472,85,0,558,0.89
101,2020,2,4,0.0,6899179.889111925,271.8003314912569,168.23922091482964,178.13939438885149,0.33,472,85,0,558,0.89
102,2020,2,5,0.0021916794385729,11303086.29704941,270.2251955141716,144.16757507911746,178.4093524539939,0.33,472,85,0,558,0.89
103,2020,2,6,0.0049331702898143,7053725.578305431,271.9239499183866,57.994579814825386,180.4256835366153,0.33,472,85,0,558,0.89
104,2020,2,7,7.944522705992385e-05,9835547.983788522,275.4870972709156,109.8572360644288,180.77384212233488,0.33,472,85,0,558,0.89
105,2020,2,8,2.1437600952765867e-05,12417623.314659396,278.0128075770892,93.82064215424862,180.80658629717567,0.33,472,85,0,558,0.89
106,2020,2,9,0.0,14471488.170208735,281.98968658696407,172.1723575260926,180.50807102951984,0.34,472,85,0,558,0.89
107,2020,2,10,0.0,14721602.502858948,283.13656621721515,170.67357064370685,180.12306218013637,0.34,472,85,0,558,0.89
108,2020,2,11,2.017656560260317e-05,13464143.00944884,283.3816782806542,145.87617263021818,180.13472089590618,0.35,472,85,0,558,0.89
109,2020,2,12,2.017656560260317e-05,14505066.342234064,283.77019786781847,160.15284555021964,180.1568446984022,0.35,472,85,0,558,0.89
110,2020,2,13,0.0070744083143809,14527451.790250951,286.923355731909,132.50170666571665,179.9253645943763,0.36,472,85,0,558,0.89
111,2020,2,14,0.1211728867965891,1622241.0085158665,273.94928784301754,173.35103887792707,177.03478600037087,0.37,483,88,0,571,0.91
112,2020,2,15,6.30517675081349e-06,10533371.276776468,270.1834608168647,169.22893537603292,182.86413895224825,0.38,487,89,0,577,0.92
113,2020,2,16,6.30517675081349e-06,15635961.956471777,272.27333529850154,144.2207284058429,182.7428332353413,0.38,487,89,0,577,0.92
114,2020,2,17,1.261035350162698e-05,16261032.543404836,276.5593555160882,124.13376610863176,181.21510875064635,0.38,487,89,0,577,0.92
115,2020,2,18,0.0,15918362.992992496,280.3966960243288,243.38036913015628,180.25727433273588,0.38,487,89,0,577,0.92
116,2020,2,19,1.5132424201952375e-05,14129679.598566275,281.6400157871867,165.0980400525947,180.1697400566973,0.38,487,89,0,577,0.92
117,2020,2,20,0.0062244704883751,14000102.293699298,281.4402854500746,119.69817671957875,180.5262814198302,0.39,487,89,0,577,0.92
118,2020,2,21,0.0003026484840377,14769817.313972242,280.6809740081129,138.85750664043033,182.3192762265095,0.39,487,89,0,577,0.92
119,2020,2,22,2.1437600952765867e-05,17177113.954557423,279.43835193776323,101.90546708182907,180.1904429234832,0.4,487,89,0,577,0.92
120,2020,2,23,2.017656560260317e-05,16289014.353425946,284.63004045754855,232.81040987992372,180.13082087939176,0.4,487,89,0,577,0.92
121,2020,2,24,0.2296622800412987,2431561.0522033013,281.71917217356844,57.578320306008216,177.47102188266103,0.41,487,89,0,577,0.92
122,2020,2,25,0.0002131149741766,5664105.843718706,277.82595283808234,119.588487714711,177.71494785921809,0.42,497,91,0,588,0.93
123,2020,2,26,1.891553025244047e-05,15686759.703894708,276.4923453220079,189.7947154511976,178.25707890329863,0.42,515,96,0,611,0.96
124,2020,2,27,0.0440908399828905,6710195.04912321,274.96411330944926,36.42029168284963,178.67911035015365,0.42,531,100,0,631,0.99
125,2020,2,28,1.5132424201910744e-05,11435246.538226029,277.5633350353474,86.47173313003336,180.3249481617668,0.43,549,105,0,653,1.02
126,2020,2,29,0.0004615389381575,12189894.43002607,279.07907200935057,14.910146363462614,180.1165262107083,0.43,563,108,0,671,1.04
127,2020,3,1,0.0073909281872704,11353453.555087404,280.01436052985065,50.23288146717126,177.38046216568574,0.44,585,114,0,699,1.08
128,2020,3,2,1.6393459552115075e-05,12654392.476376465,279.0251594064464,210.35864120871543,180.35676044356524,0.44,620,122,0,742,1.14
129,2020,3,3,2.2698636302928565e-05,18437586.873662114,277.9921622215064,109.19892527064754,177.10897180537836,0.44,654,131,0,784,1.19
130,2020,3,4,0.0,18478052.875846483,275.7069338375815,70.65575065915812,178.3511485386681,0.45,680,137,0,818,1.24
131,2020,3,5,0.0,18556832.433290526,279.648706228977,218.0380360778246,180.1090112041401,0.45,689,140,0,829,1.25
132,2020,3,6,0.0083959733613455,18032065.873048518,282.9504091707166,128.41299576371026,180.21612876931337,0.45,691,140,0,831,1.26
133,2020,3,7,1.6393459552108136e-05,18720848.888952717,283.4256646219649,62.2144921526502,178.8337174472105,0.46,712,145,0,857,1.29
134,2020,3,8,0.0014930658545859,13951026.503816122,285.2099814983183,27.01683188308922,180.2998503698469,0.47,719,147,0,866,1.31
135,2020,3,9,0.0333770836479562,3060075.5542158857,277.40806673898334,113.14025527912452,177.1814581334236,0.48,719,147,0,866,1.31
136,2020,3,10,0.0003240860849904,18054020.83168046,281.824396889119,56.05055474077127,180.71123870200768,0.48,729,150,0,879,1.32
137,2020,3,11,2.1437600952765867e-05,19811708.990390997,285.5495674700231,207.11091451198172,180.25969653443173,0.49,744,153,0,897,1.35
138,2020,3,12,0.0234022940282142,17461236.948617905,282.30415562837464,132.0002379695201,177.9326419623101,0.49,777,162,0,938,1.41
139,2020,3,13,0.0,20079903.87720869,280.3109432724153,47.75730396115966,180.7340522109375,0.51,851,180,0,1031,1.55
140,2020,3,14,1.6393459552115075e-05,20721333.06076948,284.37481185274095,121.56286538729564,181.5399005618475,0.51,913,197,0,1110,1.67
141,2020,3,15,0.0,20333892.614323366,283.9978041919616,70.37163781138395,178.64733698904968,0.52,988,218,0,1207,1.82
142,2020,3,16,0.0,18228369.03258121,285.1399268278388,185.0181758477732,180.39829122587253,0.53,1078,247,0,1325,2.0
143,2020,3,17,8.827247451138887e-06,20912039.85829795,289.4594045725218,99.19198442929589,180.2608720779909,0.53,1142,268,0,1411,2.12
144,2020,3,18,1.5132424201952375e-05,21293883.942739844,290.3287928642955,45.54809812886992,181.64923986032707,0.54,1239,303,0,1542,2.32
145,2020,3,19,1.1349318151464284e-05,21700265.922123324,286.13924449261145,99.42099480977603,180.54590206028877,0.55,1338,343,0,1681,2.52
146,2020,3,20,2.017656560260317e-05,21160862.722793348,291.9529575967278,133.8279640808283,180.2890625001371,0.56,1442,391,0,1833,2.74
147,2020,3,21,2.2698636302928565e-05,18313605.93079936,286.60359057009555,95.02806222564544,177.63110229902685,0.57,1548,443,0,1990,2.96
148,2020,3,22,0.0,21702418.369048025,287.98828820574585,68.14102685388586,180.43136687348564,0.59,1641,494,0,2135,3.17
149,2020,3,23,0.0002875160598358,21296036.389664546,289.9338354780787,141.2292844399443,180.1766567433568,0.6,1751,561,0,2312,3.41
150,2020,3,24,0.001059269694132,16920972.77051805,289.93649939492803,145.1761437879242,180.00555619630524,0.61,1861,633,0,2494,3.66
151,2020,3,25,0.0006090800741259,18962353.433904126,289.60297066272614,76.07774984669403,180.0444432604001,0.62,1943,692,0,2635,3.84
152,2020,3,26,0.0156002683167926,4262862.895738596,280.5171748351717,241.57101914452804,177.2267501790743,0.63,2042,771,0,2813,4.07
153,2020,3,27,0.0,21390313.564966436,280.6388904645518,115.57118930085612,177.19310696477882,0.64,2099,820,0,2919,4.21
154,2020,3,28,2.1437600952765867e-05,19767368.58374216,282.4896466956608,58.02849471997232,178.89968331726683,0.64,2181,897,0,3078,4.4
155,2020,3,29,8.827247451138887e-06,21512572.55028943,283.1184579252985,132.15955533981736,180.5704186822943,0.65,2269,984,0,3253,4.62
156,2020,3,30,0.0,21522043.31675811,284.165028400852,143.63385329514776,180.4421317497022,0.66,2366,1084,0,3450,4.85
157,2020,3,31,1.891553025241272e-05,16649764.458005773,285.22926318218055,52.79257729506769,179.8476079680643,0.66,2469,1194,0,3662,5.1
158,2020,4,1,0.0044287561497515,14059079.339436095,282.8126466136485,91.00168417088676,177.9495457059997,0.67,2525,1257,0,3781,5.24
159,2020,4,2,0.0024035333773993,10915215.361218356,281.97392507893846,87.45863501722536,180.77366466678416,0.68,2585,1329,0,3914,5.4
