time_val,dvs,wlv,wst,wso,tagp,lai
2019-06-14,0.0,8,3,0,10,0.01
2019-06-15,0.02,9,3,0,12,0.01
2019-06-16,0.04,10,3,0,13,0.02
2019-06-17,0.07,11,4,0,15,0.02
2019-06-18,0.09,13,5,0,17,0.02
2019-06-19,0.11,15,5,0,20,0.02
2019-06-20,0.13,17,6,0,23,0.03
2019-06-21,0.15,18,7,0,25,0.03
2019-06-22,0.17,20,8,0,29,0.03
2019-06-23,0.2,23,10,0,33,0.04
2019-06-24,0.22,27,12,0,39,0.05
2019-06-25,0.24,31,14,0,46,0.05
2019-06-26,0.26,35,17,0,53,0.06
2019-06-27,0.28,41,21,0,62,0.07
2019-06-28,0.3,47,25,0,71,0.09
2019-06-29,0.32,50,27,0,78,0.09
2019-06-30,0.34,58,33,0,91,0.11
2019-07-01,0.36,66,39,0,106,0.13
2019-07-02,0.38,77,47,0,125,0.15
2019-07-03,0.4,85,55,0,141,0.18
2019-07-04,0.42,97,64,0,164,0.21
2019-07-05,0.45,109,74,0,185,0.24
2019-07-06,0.47,125,87,0,214,0.28
2019-07-07,0.48,144,103,0,249,0.33
2019-07-08,0.5,161,118,0,281,0.37
2019-07-09,0.52,194,146,0,341,0.46
2019-07-10,0.54,215,165,0,382,0.52
2019-07-11,0.55,242,189,0,433,0.6
2019-07-12,0.57,280,224,0,506,0.71
2019-07-13,0.59,316,258,0,576,0.82
2019-07-14,0.61,379,319,0,700,1.01
2019-07-15,0.63,437,375,0,815,1.19
2019-07-16,0.65,510,448,0,960,1.42
2019-07-17,0.67,561,499,0,1061,1.58
2019-07-18,0.69,610,548,0,1160,1.74
2019-07-19,0.71,694,632,0,1328,2.02
2019-07-20,0.74,810,748,0,1559,2.41
2019-07-21,0.76,918,856,0,1777,2.79
2019-07-22,0.78,1029,971,0,2007,3.19
2019-07-23,0.8,1127,1071,0,2206,3.54
2019-07-24,0.83,1210,1161,0,2386,3.86
2019-07-25,0.85,1342,1297,0,2658,4.35
2019-07-26,0.87,1442,1396,0,2856,4.73
2019-07-27,0.9,1535,1502,0,3068,5.11
2019-07-28,0.92,1603,1578,21,3241,5.39
2019-07-29,0.94,1633,1630,63,3386,5.55
2019-07-30,0.97,1642,1659,115,3497,5.62
2019-07-31,0.99,1661,1681,192,3618,5.7
2019-08-01,1.0,1684,1707,387,3865,5.8
2019-08-02,1.03,1690,1718,587,4087,5.84
2019-08-03,1.05,1691,1724,694,4206,5.85
2019-08-04,1.08,1694,1733,858,4387,5.87
2019-08-05,1.11,1698,1743,1034,4581,5.89
2019-08-06,1.14,1703,1756,1270,4841,5.92
2019-08-07,1.17,1704,1764,1418,5003,5.93
2019-08-08,1.19,1702,1770,1537,5133,5.93
2019-08-09,1.22,1705,1783,1770,5388,5.95
2019-08-10,1.25,1704,1790,1890,5519,5.95
2019-08-11,1.27,1701,1795,1986,5623,5.95
2019-08-12,1.29,1698,1801,2091,5737,5.94
2019-08-13,1.31,1695,1806,2194,5848,5.94
2019-08-14,1.33,1692,1812,2310,5973,5.93
2019-08-15,1.36,1692,1825,2547,6229,5.94
2019-08-16,1.38,1692,1839,2800,6501,5.94
2019-08-17,1.4,1689,1848,2973,6687,5.94
2019-08-18,1.43,1688,1862,3233,6964,5.93
2019-08-19,1.45,1687,1876,3485,7234,5.93
2019-08-20,1.47,1684,1888,3724,7489,5.93
2019-08-21,1.49,1681,1900,3946,7726,5.92
2019-08-22,1.52,1677,1910,4126,7917,5.91
2019-08-23,1.54,1673,1881,4302,8104,5.9
2019-08-24,1.56,1669,1855,4516,8330,5.89
2019-08-25,1.59,1664,1822,4600,8419,5.87
2019-08-26,1.61,1659,1790,4689,8512,5.86
2019-08-27,1.63,1654,1759,4774,8602,5.84
2019-08-28,1.65,1649,1730,4897,8731,5.83
2019-08-29,1.68,1645,1704,5097,8940,5.82
2019-08-30,1.7,1602,1679,5318,9171,5.69
2019-08-31,1.72,1599,1654,5536,9397,5.68
2019-09-01,1.73,1566,1629,5748,9617,5.59
2019-09-02,1.76,1503,1602,5912,9786,5.4
2019-09-03,1.78,1445,1574,6054,9933,5.22
2019-09-04,1.8,1435,1547,6181,10063,5.18
2019-09-05,1.82,1372,1518,6273,10157,4.99
2019-09-06,1.84,1322,1489,6341,10227,4.83
2019-09-07,1.86,1272,1461,6400,10287,4.66
2019-09-08,1.88,1248,1432,6445,10333,4.58
2019-09-09,1.91,1188,1404,6471,10360,4.38
2019-09-10,1.93,1073,1376,6490,10379,3.99
2019-09-11,1.95,964,1349,6517,10406,3.62
2019-09-12,1.97,949,1322,6554,10443,3.57
2019-09-13,1.98,849,1296,6641,10531,3.21
2019-09-14,2.0,849,1270,6725,10615,3.21
2020-06-11,0.0,8,3,0,10,0.01
2020-06-12,0.02,9,3,0,11,0.01
2020-06-13,0.04,10,3,0,13,0.01
2020-06-14,0.06,11,4,0,15,0.02
2020-06-15,0.08,13,4,0,17,0.02
2020-06-16,0.1,14,5,0,19,0.02
2020-06-17,0.11,15,5,0,20,0.02
2020-06-18,0.12,16,6,0,22,0.03
2020-06-19,0.14,18,7,0,24,0.03
2020-06-20,0.15,20,8,0,27,0.03
2020-06-21,0.17,23,9,0,32,0.04
2020-06-22,0.19,27,12,0,38,0.05
2020-06-23,0.21,31,14,0,44,0.05
2020-06-24,0.23,33,15,0,49,0.06
2020-06-25,0.24,38,18,0,56,0.07
2020-06-26,0.26,44,22,0,66,0.08
2020-06-27,0.28,47,24,0,71,0.09
2020-06-28,0.3,55,30,0,84,0.1
2020-06-29,0.32,60,33,0,93,0.11
2020-06-30,0.34,66,37,0,103,0.13
2020-07-01,0.36,75,44,0,119,0.15
2020-07-02,0.38,89,54,0,143,0.18
2020-07-03,0.39,96,60,0,156,0.2
2020-07-04,0.41,105,67,0,171,0.22
2020-07-05,0.42,116,75,0,191,0.24
2020-07-06,0.44,131,88,0,220,0.28
2020-07-07,0.46,153,106,0,259,0.34
2020-07-08,0.48,183,131,0,314,0.42
2020-07-09,0.51,215,158,0,373,0.51
2020-07-10,0.52,238,179,0,417,0.57
2020-07-11,0.54,262,200,0,462,0.64
2020-07-12,0.56,286,221,0,507,0.71
2020-07-13,0.57,312,246,0,559,0.78
2020-07-14,0.59,354,286,0,640,0.91
2020-07-15,0.61,407,337,0,744,1.07
2020-07-16,0.63,482,409,0,891,1.3
2020-07-17,0.65,565,492,0,1057,1.56
2020-07-18,0.66,631,558,0,1188,1.77
2020-07-19,0.68,695,622,0,1317,1.98
2020-07-20,0.7,749,677,0,1426,2.16
2020-07-21,0.72,875,802,0,1678,2.58
2020-07-22,0.74,982,909,0,1891,2.94
2020-07-23,0.75,1047,974,0,2022,3.17
2020-07-24,0.77,1188,1115,0,2302,3.66
2020-07-25,0.79,1352,1279,0,2631,4.24
2020-07-26,0.81,1442,1369,0,2811,4.56
2020-07-27,0.82,1516,1444,0,2960,4.84
2020-07-28,0.84,1607,1534,0,3140,5.17
2020-07-29,0.86,1757,1685,0,3442,5.74
2020-07-30,0.88,1918,1849,0,3771,6.35
2020-07-31,0.9,2080,2022,0,4117,7.0
2020-08-01,0.92,2195,2157,44,4431,7.5
2020-08-02,0.94,2244,2233,107,4646,7.74
2020-08-03,0.96,2277,2296,215,4880,7.93
2020-08-04,0.98,2274,2326,310,5035,7.97
2020-08-05,1.0,2264,2350,480,5252,7.98
2020-08-06,1.03,2235,2355,567,5349,7.91
2020-08-07,1.05,2208,2360,660,5452,7.84
2020-08-08,1.08,2181,2365,755,5557,7.77
2020-08-09,1.1,2158,2372,883,5698,7.71
2020-08-10,1.13,2139,2385,1111,5950,7.67
2020-08-11,1.16,2120,2396,1322,6181,7.62
2020-08-12,1.19,2099,2405,1475,6349,7.56
2020-08-13,1.22,2077,2411,1591,6475,7.5
2020-08-14,1.24,2055,2416,1677,6569,7.43
2020-08-15,1.27,2038,2428,1905,6817,7.38
2020-08-16,1.3,2017,2433,1990,6908,7.32
2020-08-17,1.32,1998,2439,2110,7038,7.26
2020-08-18,1.35,1981,2450,2318,7262,7.21
2020-08-19,1.38,1965,2462,2536,7498,7.16
2020-08-20,1.41,1946,2466,2620,7587,7.11
2020-08-21,1.43,1929,2471,2710,7684,7.05
2020-08-22,1.45,1914,2484,2954,7945,7.0
2020-08-23,1.47,1899,2497,3195,8202,6.96
2020-08-24,1.49,1883,2503,3306,8320,6.91
2020-08-25,1.52,1867,2508,3395,8414,6.85
2020-08-26,1.54,1852,2467,3573,8603,6.81
2020-08-27,1.56,1838,2423,3663,8698,6.76
2020-08-28,1.59,1823,2384,3842,8888,6.71
2020-08-29,1.61,1810,2347,4060,9117,6.67
2020-08-30,1.64,1796,2311,4268,9336,6.62
2020-08-31,1.66,1783,2275,4471,9549,6.58
2020-09-01,1.69,1770,2238,4665,9751,6.54
2020-09-02,1.71,1758,2201,4865,9959,6.5
2020-09-03,1.73,1747,2164,5067,10168,6.46
2020-09-04,1.75,1736,2128,5277,10387,6.42
2020-09-05,1.77,1725,2092,5479,10595,6.39
2020-09-06,1.79,1715,2056,5673,10794,6.35
2020-09-07,1.82,1705,2020,5860,10986,6.32
2020-09-08,1.84,1696,1984,6046,11176,6.29
2020-09-09,1.86,1687,1948,6229,11364,6.26
2020-09-10,1.88,1678,1912,6408,11546,6.23
2020-09-11,1.9,1639,1877,6585,11725,6.1
2020-09-12,1.92,1632,1841,6737,11879,6.08
2020-09-13,1.94,1532,1805,6845,11989,5.74
2020-09-14,1.96,1467,1771,7010,12154,5.51
2020-09-15,1.98,1327,1736,7102,12247,5.02
2020-09-16,2.0,1163,1701,7225,12370,4.44
2020-09-17,2.02,1163,1667,7367,12513,4.44
2021-06-14,0.0,8,3,0,10,0.01
2021-06-15,0.02,8,3,0,11,0.01
2021-06-16,0.03,9,3,0,12,0.01
2021-06-17,0.05,10,3,0,13,0.02
2021-06-18,0.07,10,4,0,14,0.02
2021-06-19,0.09,12,4,0,16,0.02
2021-06-20,0.11,14,5,0,18,0.02
2021-06-21,0.13,16,6,0,22,0.03
2021-06-22,0.15,18,7,0,25,0.03
2021-06-23,0.17,21,9,0,29,0.04
2021-06-24,0.19,23,10,0,33,0.04
2021-06-25,0.21,26,11,0,38,0.04
2021-06-26,0.23,29,13,0,41,0.05
2021-06-27,0.26,33,16,0,49,0.06
2021-06-28,0.28,37,18,0,55,0.07
2021-06-29,0.3,43,22,0,65,0.08
2021-06-30,0.32,47,25,0,72,0.09
2021-07-01,0.34,54,30,0,84,0.1
2021-07-02,0.35,58,34,0,92,0.11
2021-07-03,0.37,64,38,0,102,0.13
2021-07-04,0.39,73,45,0,118,0.15
2021-07-05,0.41,84,54,0,138,0.18
2021-07-06,0.44,97,63,0,160,0.21
2021-07-07,0.46,110,74,0,185,0.24
2021-07-08,0.48,120,82,0,203,0.27
2021-07-09,0.5,138,98,0,237,0.32
2021-07-10,0.52,165,121,0,286,0.39
2021-07-11,0.54,197,150,0,347,0.48
2021-07-12,0.57,217,168,0,385,0.54
2021-07-13,0.58,238,188,0,426,0.6
2021-07-14,0.61,281,229,0,510,0.73
2021-07-15,0.63,323,270,0,593,0.86
2021-07-16,0.65,355,301,0,656,0.96
2021-07-17,0.67,394,340,0,735,1.08
2021-07-18,0.69,443,389,0,832,1.24
2021-07-19,0.71,517,463,0,981,1.49
2021-07-20,0.73,610,556,0,1166,1.8
2021-07-21,0.75,661,608,0,1269,1.98
2021-07-22,0.77,716,663,0,1379,2.17
2021-07-23,0.79,774,721,0,1495,2.38
